ID,Nominee,Party,Gender,State,Region,WiderRegion,Type,Race,Class,Incumbent,Victor,Votes,Share,Total,HeldBy,Hometown,ElectionDay,ElectionYear,YearType,LastElection,Final,Special,Runoff
308,Michael A. Collins,Republican,Male,Georgia,South Atlantic,South,House,GA-10,Class 1,TRUE,TRUE,256442,0.6305,406716,Republican,"Jackson, Georgia",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
309,Alexandra J. Doherty,Democratic,Female,Georgia,South Atlantic,South,House,GA-10,Class 1,FALSE,FALSE,150274,0.3695,406716,Republican,"Athens, Georgia",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
310,Barry D. Loudermilk,Republican,Male,Georgia,South Atlantic,South,House,GA-11,Class 1,TRUE,TRUE,269849,0.6731,400913,Republican,"Cassville, Georgia",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
311,Katy L. Stemper,Democratic,Female,Georgia,South Atlantic,South,House,GA-11,Class 1,FALSE,FALSE,131064,0.3269,400913,Republican,"Woodstock, Georgia",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
312,Richard W. Allen,Republican,Male,Georgia,South Atlantic,South,House,GA-12,Class 1,TRUE,TRUE,205849,0.6032,341266,Republican,"Augusta, Georgia",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
313,Elizabeth N. Johnson,Democratic,Female,Georgia,South Atlantic,South,House,GA-12,Class 1,FALSE,FALSE,135417,0.3968,341266,Republican,"Statesboro, Georgia",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
314,Jonathan Chavez,Republican,Male,Georgia,South Atlantic,South,House,GA-13,Class 1,FALSE,FALSE,100730,0.2817,357632,Democratic,"Conyers, Georgia",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
315,David A. Scott,Democratic,Male,Georgia,South Atlantic,South,House,GA-13,Class 1,TRUE,TRUE,256902,0.7183,357632,Democratic,"Atlanta, Georgia",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
316,Marjorie Taylor Greene,Republican,Female,Georgia,South Atlantic,South,House,GA-14,Class 1,TRUE,TRUE,243446,0.6437,378205,Republican,"Rome, Georgia",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
317,Shawn Harris,Democratic,Male,Georgia,South Atlantic,South,House,GA-14,Class 1,FALSE,FALSE,134759,0.3563,378205,Republican,"Cedartown, Georgia",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
318,Robert C. McDermott,Republican,Male,Hawaii,Pacific,West,Senate,HI-Sen,Class 1,FALSE,FALSE,160075,0.319,501763,Democratic,"Ewa Beach, Hawaii",2024-11-05,2024,Presidential,2018-11-06,TRUE,FALSE,FALSE
319,Mazie K. Hirono,Democratic,Female,Hawaii,Pacific,West,Senate,HI-Sen,Class 1,TRUE,TRUE,324194,0.6461,501763,Democratic,"Honolulu, Hawaii",2024-11-05,2024,Presidential,2018-11-06,TRUE,FALSE,FALSE
320,"Shelby ""Pikachu"" Billionaire",We the People,Male,Hawaii,Pacific,West,Senate,HI-Sen,Class 1,FALSE,FALSE,9224,0.0184,501763,Democratic,"Waianae, Hawaii",2024-11-05,2024,Presidential,2018-11-06,TRUE,FALSE,FALSE
321,Emma Jane Avila Pohlman,Green,Female,Hawaii,Pacific,West,Senate,HI-Sen,Class 1,FALSE,FALSE,8270,0.0165,501763,Democratic,"Kailua-Kona, Hawaii",2024-11-05,2024,Presidential,2018-11-06,TRUE,FALSE,FALSE
322,Patrick C. Largey,Republican,Male,Hawaii,Pacific,West,House,HI-01,Class 1,FALSE,FALSE,64373,0.2816,228610,Democratic,"Aiea, Hawaii",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
323,Edward E. Case,Democratic,Male,Hawaii,Pacific,West,House,HI-01,Class 1,TRUE,TRUE,164237,0.7184,228610,Democratic,"Kaneohe, Hawaii",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
324,Steven R. Bond,Republican,Male,Hawaii,Pacific,West,House,HI-02,Class 1,FALSE,FALSE,75471,0.3017,250156,Democratic,"Kula, Hawaii",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
325,Jill N. Tokuda,Democratic,Female,Hawaii,Pacific,West,House,HI-02,Class 1,TRUE,TRUE,166251,0.6646,250156,Democratic,"Kaneohe, Hawaii",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
326,Randall Kelly Meyer,Nonpartisan,Male,Hawaii,Pacific,West,House,HI-02,Class 1,FALSE,FALSE,3937,0.0157,250156,Democratic,"Keaau, Hawaii",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
327,Aaron M. Toman,Libertarian,Male,Hawaii,Pacific,West,House,HI-02,Class 1,FALSE,FALSE,4497,0.018,250156,Democratic,"Naalehu, Hawaii",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
328,Russell M. Fulcher,Republican,Male,Idaho,Mountain,West,House,ID-01,Class 1,TRUE,TRUE,331049,0.7101,466232,Republican,"Meridian, Idaho",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
329,Kaylee J. Peterson,Democratic,Female,Idaho,Mountain,West,House,ID-01,Class 1,FALSE,FALSE,118656,0.2545,466232,Republican,"Eagle, Idaho",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
330,Brendan J. Gomez,Constitution,Male,Idaho,Mountain,West,House,ID-01,Class 1,FALSE,FALSE,6933,0.0149,466232,Republican,"Boise, Idaho",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
331,Matthew R. Loesby,Libertarian,Male,Idaho,Mountain,West,House,ID-01,Class 1,FALSE,FALSE,9594,0.0206,466232,Republican,"Eagle, Idaho",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
332,Michael K. Simpson,Republican,Male,Idaho,Mountain,West,House,ID-02,Class 1,TRUE,TRUE,250119,0.6138,407462,Republican,"Idaho Falls, Idaho",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
333,David J. Roth,Democratic,Male,Idaho,Mountain,West,House,ID-02,Class 1,FALSE,FALSE,126229,0.3098,407462,Republican,"Idaho Falls, Idaho",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
334,Carta Reale Sierra,Constitution,Male,Idaho,Mountain,West,House,ID-02,Class 1,FALSE,FALSE,9804,0.0241,407462,Republican,"Pocatello, Idaho",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
335,Todd A. Corsetti,Libertarian,Male,Idaho,Mountain,West,House,ID-02,Class 1,FALSE,FALSE,21310,0.0523,407462,Republican,"Pocatello, Idaho",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
336,Marcus E. Lewis,Republican,Male,Illinois,Great Lakes,Midwest,House,IL-01,Class 1,FALSE,FALSE,108064,0.3414,316507,Democratic,"Matteson, Illinois",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
337,Jonathan L. Jackson,Democratic,Male,Illinois,Great Lakes,Midwest,House,IL-01,Class 1,TRUE,TRUE,208398,0.6584,316507,Democratic,"Chicago, Illinois",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
338,Ashley N. Ramos,Republican,Female,Illinois,Great Lakes,Midwest,House,IL-02,Class 1,FALSE,FALSE,94004,0.3243,289843,Democratic,"Matteson, Illinois",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
339,Robin L. Kelly,Democratic,Female,Illinois,Great Lakes,Midwest,House,IL-02,Class 1,TRUE,TRUE,195777,0.6755,289843,Democratic,"Homer Glen, Illinois",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
340,John Panagiotis Booras,Republican,Male,Illinois,Great Lakes,Midwest,House,IL-03,Class 1,FALSE,FALSE,84987,0.327,259908,Democratic,"Chicago, Illinois",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
341,Delia C. Ramirez,Democratic,Female,Illinois,Great Lakes,Midwest,House,IL-03,Class 1,TRUE,TRUE,174825,0.6726,259908,Democratic,"Chicago, Illinois",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
342,Lupe Castillo Gallagher,Republican,Female,Illinois,Great Lakes,Midwest,House,IL-04,Class 1,FALSE,FALSE,56323,0.2729,206396,Democratic,"Chicago, Illinois",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
343,Jesús G. “Chuy” García,Democratic,Male,Illinois,Great Lakes,Midwest,House,IL-04,Class 1,TRUE,TRUE,139343,0.6751,206396,Democratic,"Chicago, Illinois",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
344,Edward Falls Hershey,Working Class,Male,Illinois,Great Lakes,Midwest,House,IL-04,Class 1,FALSE,FALSE,10704,0.0519,206396,Democratic,"Chicago, Illinois",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
345,Thomas Hanson,Republican,Male,Illinois,Great Lakes,Midwest,House,IL-05,Class 1,FALSE,FALSE,112931,0.3103,363965,Democratic,"Chicago, Illinois",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
346,Michael B. Quigley,Democratic,Male,Illinois,Great Lakes,Midwest,House,IL-05,Class 1,TRUE,TRUE,251025,0.6897,363965,Democratic,"Chicago, Illinois",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
347,Nicole M. Conforti,Republican,Female,Illinois,Great Lakes,Midwest,House,IL-06,Class 1,FALSE,FALSE,166116,0.4578,362849,Democratic,"Glen Ellyn, Illinois",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
348,Sean T. Casten,Democratic,Male,Illinois,Great Lakes,Midwest,House,IL-06,Class 1,TRUE,TRUE,196647,0.542,362849,Democratic,"Downers Grove, Illinois",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
349,Chad N. Koppie,Republican,Male,Illinois,Great Lakes,Midwest,House,IL-07,Class 1,FALSE,FALSE,44598,0.1669,267152,Democratic,"Gilberts, Illinois",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
350,Danny K. Davis,Democratic,Male,Illinois,Great Lakes,Midwest,House,IL-07,Class 1,TRUE,TRUE,222408,0.8325,267152,Democratic,"Chicago, Illinois",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
351,Mark Adam Rice,Republican,Male,Illinois,Great Lakes,Midwest,House,IL-08,Class 1,FALSE,FALSE,130153,0.4294,303073,Democratic,"Chicago, Illinois",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
352,S. Raja Krishnamoorthi,Democratic,Male,Illinois,Great Lakes,Midwest,House,IL-08,Class 1,TRUE,TRUE,172920,0.5706,303073,Democratic,"Schaumburg, Illinois",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
353,Seth Alan Cohen,Republican,Male,Illinois,Great Lakes,Midwest,House,IL-09,Class 1,FALSE,FALSE,107106,0.3161,338828,Democratic,"Skokie, Illinois",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
354,Janice D. Schakowsky,Democratic,Female,Illinois,Great Lakes,Midwest,House,IL-09,Class 1,TRUE,TRUE,231722,0.6839,338828,Democratic,"Evanston, Illinois",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
355,James F. Carris,Republican,Male,Illinois,Great Lakes,Midwest,House,IL-10,Class 1,FALSE,FALSE,131025,0.3999,327621,Democratic,"Lake Forest, Illinois",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
356,Bradley S. Schneider,Democratic,Male,Illinois,Great Lakes,Midwest,House,IL-10,Class 1,TRUE,TRUE,196358,0.5993,327621,Democratic,"Highland Park, Illinois",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
357,Gerald N. Evans,Republican,Male,Illinois,Great Lakes,Midwest,House,IL-11,Class 1,FALSE,FALSE,159630,0.4438,359684,Democratic,"Warrenville, Illinois",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
358,G. William Foster,Democratic,Male,Illinois,Great Lakes,Midwest,House,IL-11,Class 1,TRUE,TRUE,199825,0.5556,359684,Democratic,"Naperville, Illinois",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
359,Michael J. Bost,Republican,Male,Illinois,Great Lakes,Midwest,House,IL-12,Class 1,TRUE,TRUE,272754,0.7419,367629,Republican,"Murphysboro, Illinois",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
360,Brian L. Roberts,Democratic,Male,Illinois,Great Lakes,Midwest,House,IL-12,Class 1,FALSE,FALSE,94875,0.2581,367629,Republican,"De Soto, Illinois",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
361,Joshua Loyd,Republican,Male,Illinois,Great Lakes,Midwest,House,IL-13,Class 1,FALSE,FALSE,137917,0.4186,329500,Democratic,"Virden, Illinois",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
362,Nicole J. Budzinski,Democratic,Female,Illinois,Great Lakes,Midwest,House,IL-13,Class 1,TRUE,TRUE,191339,0.5807,329500,Democratic,"Springfield, Illinois",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
363,James T. Marter,Republican,Male,Illinois,Great Lakes,Midwest,House,IL-14,Class 1,FALSE,FALSE,149464,0.4489,332929,Democratic,"Oswego, Illinois",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
364,Lauren A. Underwood,Democratic,Female,Illinois,Great Lakes,Midwest,House,IL-14,Class 1,TRUE,TRUE,183446,0.551,332929,Democratic,"Naperville, Illinois",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
365,Mary E. Miller,Republican,Female,Illinois,Great Lakes,Midwest,House,IL-15,Class 1,TRUE,TRUE,308825,0.9955,310234,Republican,"Oakland, Illinois",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
366,Darin M. LaHood,Republican,Male,Illinois,Great Lakes,Midwest,House,IL-16,Class 1,TRUE,TRUE,310925,0.9994,311108,Republican,"Peoria, Illinois",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
367,Joseph G. McGraw,Republican,Male,Illinois,Great Lakes,Midwest,House,IL-17,Class 1,FALSE,FALSE,142567,0.4557,312828,Democratic,"Rockford, Illinois",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
368,Eric G. Sorenson,Democratic,Male,Illinois,Great Lakes,Midwest,House,IL-17,Class 1,TRUE,TRUE,170261,0.5443,312828,Democratic,"Moline, Illinois",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
369,James E. Banks,Republican,Male,Indiana,Great Lakes,Midwest,Senate,IN-Sen,Class 1,FALSE,TRUE,1659416,0.5864,2829897,Republican,"Columbia City, Indiana",2024-11-05,2024,Presidential,2018-11-06,TRUE,FALSE,FALSE
370,Valerie L. McCray,Democratic,Female,Indiana,Great Lakes,Midwest,Senate,IN-Sen,Class 1,FALSE,FALSE,1097061,0.3877,2829897,Republican,"Indianapolis, Indiana",2024-11-05,2024,Presidential,2018-11-06,TRUE,FALSE,FALSE
371,Andrew M. Horning,Libertarian,Male,Indiana,Great Lakes,Midwest,Senate,IN-Sen,Class 1,FALSE,FALSE,73233,0.0259,2829897,Republican,"Freedom, Indiana",2024-11-05,2024,Presidential,2018-11-06,TRUE,FALSE,FALSE
372,Randell C. Niemeyer,Republican,Male,Indiana,Great Lakes,Midwest,House,IN-01,Class 1,FALSE,FALSE,145056,0.4495,322723,Democratic,"Cedar Lake, Indiana",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
373,Frank J. Mrvan,Democratic,Male,Indiana,Great Lakes,Midwest,House,IN-01,Class 1,TRUE,TRUE,172467,0.5344,322723,Democratic,"Highland, Indiana",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
374,Dakotah J. Miskus,Libertarian,Male,Indiana,Great Lakes,Midwest,House,IN-01,Class 1,FALSE,FALSE,5200,0.0161,322723,Democratic,"La Porte, Indiana",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
375,Rudolph C. Yakym III,Republican,Male,Indiana,Great Lakes,Midwest,House,IN-02,Class 1,TRUE,TRUE,184848,0.6274,294618,Republican,"Granger, Indiana",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
376,Lori A. Camp,Democratic,Female,Indiana,Great Lakes,Midwest,House,IN-02,Class 1,FALSE,FALSE,101962,0.3461,294618,Republican,"South Bend, Indiana",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
377,William E. Henry,Libertarian,Male,Indiana,Great Lakes,Midwest,House,IN-02,Class 1,FALSE,FALSE,7795,0.0265,294618,Republican,"Plainfield, Indiana",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
378,Marlin A. Stutzman,Republican,Male,Indiana,Great Lakes,Midwest,House,IN-03,Class 1,FALSE,TRUE,202653,0.6505,311539,Republican,"Howe, Indiana",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
379,Kiley M. Adolph,Democratic,Female,Indiana,Great Lakes,Midwest,House,IN-03,Class 1,FALSE,FALSE,97871,0.3142,311539,Republican,"Fremont, Indiana",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
380,Jarrad Ray Lancaster,Libertarian,Male,Indiana,Great Lakes,Midwest,House,IN-03,Class 1,FALSE,FALSE,11015,0.0354,311539,Republican,"South Whitley, Indiana",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
381,James R. Baird,Republican,Male,Indiana,Great Lakes,Midwest,House,IN-04,Class 1,TRUE,TRUE,209794,0.6483,323595,Republican,"Greencastle, Indiana",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
382,Derrick Ross Holder,Democratic,Male,Indiana,Great Lakes,Midwest,House,IN-04,Class 1,FALSE,FALSE,100091,0.3093,323595,Republican,"Martinsville, Indiana",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
383,Ashley Marie Groff,Libertarian,Female,Indiana,Great Lakes,Midwest,House,IN-04,Class 1,FALSE,FALSE,13710,0.0424,323595,Republican,"Brownsburg, Indiana",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
384,Victoria K. Spartz,Republican,Female,Indiana,Great Lakes,Midwest,House,IN-05,Class 1,TRUE,TRUE,203293,0.566,359204,Republican,"Noblesville, Indiana",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
385,Deborah A. Pickett,Democratic,Female,Indiana,Great Lakes,Midwest,House,IN-05,Class 1,FALSE,FALSE,136554,0.3802,359204,Republican,"Carmel, Indiana",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
386,Lauri Ann Shillings,Libertarian,Female,Indiana,Great Lakes,Midwest,House,IN-05,Class 1,FALSE,FALSE,9567,0.0266,359204,Republican,"Carmel, Indiana",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
387,Robby G. Slaughter,Independent,Male,Indiana,Great Lakes,Midwest,House,IN-05,Class 1,FALSE,FALSE,9790,0.0273,359204,Republican,"Elwood, Indiana",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
388,Jefferson S. Shreve,Republican,Male,Indiana,Great Lakes,Midwest,House,IN-06,Class 1,FALSE,TRUE,201357,0.6394,314909,Republican,"Southport, Indiana",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
389,Cynthia D. Wirth,Democratic,Female,Indiana,Great Lakes,Midwest,House,IN-06,Class 1,FALSE,FALSE,99841,0.317,314909,Republican,"Columbus, Indiana",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
390,James Michael Sceniak,Libertarian,Male,Indiana,Great Lakes,Midwest,House,IN-06,Class 1,FALSE,FALSE,13711,0.0435,314909,Republican,"Greenwood, Indiana",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
391,John P. Schmitz,Republican,Male,Indiana,Great Lakes,Midwest,House,IN-07,Class 1,FALSE,FALSE,78792,0.2895,272148,Democratic,"Indianapolis, Indiana",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
392,Andre D. Carson,Democratic,Male,Indiana,Great Lakes,Midwest,House,IN-07,Class 1,TRUE,TRUE,185987,0.6834,272148,Democratic,"Indianapolis, Indiana",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
393,"Russell S. ""Rusty"" Johnson, Jr.",Libertarian,Male,Indiana,Great Lakes,Midwest,House,IN-07,Class 1,FALSE,FALSE,7369,0.0271,272148,Democratic,"Indianapolis, Indiana",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
394,Mark A. Messmer,Republican,Male,Indiana,Great Lakes,Midwest,House,IN-08,Class 1,FALSE,TRUE,219941,0.6796,323633,Republican,"Indianapolis, Indiana",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
395,Erik David Hurt,Democratic,Male,Indiana,Great Lakes,Midwest,House,IN-08,Class 1,FALSE,FALSE,95311,0.2945,323633,Republican,"Evansville, Indiana",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
396,K. Richard Fitzlaff,Libertarian,Male,Indiana,Great Lakes,Midwest,House,IN-08,Class 1,FALSE,FALSE,8381,0.0259,323633,Republican,"Vigo County, Indiana",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
397,Erin S. Houchin,Republican,Female,Indiana,Great Lakes,Midwest,House,IN-09,Class 1,TRUE,TRUE,222884,0.6447,345738,Republican,"Salem, Indiana",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
398,Timothy C. Peck,Democratic,Male,Indiana,Great Lakes,Midwest,House,IN-09,Class 1,FALSE,FALSE,113400,0.328,345738,Republican,"New Washington, Indiana",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
399,Russell P. Brooksbank,Libertarian,Male,Indiana,Great Lakes,Midwest,House,IN-09,Class 1,FALSE,FALSE,9454,0.0273,345738,Republican,"Clarksville, Indiana",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
400,Mariannette J. Miller-Meeks,Republican,Female,Iowa,Great Plains,Midwest,House,IA-01,Class 1,TRUE,TRUE,206955,0.4996,414204,Republican,"Le Claire, Iowa",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
401,Christina R. Bohannan,Democratic,Female,Iowa,Great Plains,Midwest,House,IA-01,Class 1,FALSE,FALSE,206156,0.4977,414204,Republican,"Iowa City, Iowa",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
402,Nicholas P. Gluba,Libertarian,Male,Iowa,Great Plains,Midwest,House,IA-01,Class 1,FALSE,FALSE,0,0.0,414204,Republican,"Lone Tree, Iowa",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
403,Ashley E. Hinson Arenholz,Republican,Female,Iowa,Great Plains,Midwest,House,IA-02,Class 1,TRUE,TRUE,233340,0.5708,408802,Republican,"Marion, Iowa",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
404,Sarah E. Albertson-Corkery,Democratic,Female,Iowa,Great Plains,Midwest,House,IA-02,Class 1,FALSE,FALSE,169740,0.4152,408802,Republican,"Cedar Falls, Iowa",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
405,Jody M. Madlom Puffett,Independent,Female,Iowa,Great Plains,Midwest,House,IA-02,Class 1,FALSE,FALSE,5381,0.0132,408802,Republican,"Delhi, Iowa",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
406,Zachary M. Nunn,Republican,Male,Iowa,Great Plains,Midwest,House,IA-03,Class 1,TRUE,TRUE,213746,0.5177,412905,Republican,"Bondurant, Iowa",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
407,Lanon M. Baccam,Democratic,Male,Iowa,Great Plains,Midwest,House,IA-03,Class 1,FALSE,FALSE,197962,0.4794,412905,Republican,"Des Moines, Iowa",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
408,Marco Battaglia,Libertarian,Male,Iowa,Great Plains,Midwest,House,IA-03,Class 1,FALSE,FALSE,0,0.0,412905,Republican,"Des Moines, Iowa",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
409,Randall L. Fenstra,Republican,Male,Iowa,Great Plains,Midwest,House,IA-04,Class 1,TRUE,TRUE,250522,0.6702,373824,Republican,"Hull, Iowa",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
410,Ryan M.A. Melton,Democratic,Male,Iowa,Great Plains,Midwest,House,IA-04,Class 1,FALSE,FALSE,122175,0.3268,373824,Republican,"Nevada, Iowa",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
411,Charles S. Aldrich,Libertarian,Male,Iowa,Great Plains,Midwest,House,IA-04,Class 1,FALSE,FALSE,0,0.0,373824,Republican,"Clarion, Iowa",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
412,Tracey R. Mann,Republican,Male,Kansas,Great Plains,Midwest,House,KS-01,Class 1,TRUE,TRUE,210493,0.6914,304458,Republican,"Salina, Kansas",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
413,Paul R. Buskirk,Democratic,Male,Kansas,Great Plains,Midwest,House,KS-01,Class 1,FALSE,FALSE,93965,0.3086,304458,Republican,"Lawrence, Kansas",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
414,Derek L. Schmidt,Republican,Male,Kansas,Great Plains,Midwest,House,KS-02,Class 1,FALSE,TRUE,172847,0.5709,302761,Republican,"Independence, Kansas",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
415,Nancy E. Boyda,Democratic,Female,Kansas,Great Plains,Midwest,House,KS-02,Class 1,FALSE,FALSE,115685,0.3821,302761,Republican,"Baldwin City, Kansas",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
416,John A. Hauer,Libertarian,Male,Kansas,Great Plains,Midwest,House,KS-02,Class 1,FALSE,FALSE,14229,0.047,302761,Republican,"Topeka, Kansas",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
417,Prasanth P. Reddy,Republican,Male,Kansas,Great Plains,Midwest,House,KS-03,Class 1,FALSE,FALSE,167570,0.426,393333,Democratic,"Lenexa, Kansas",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
418,Sharice L. Davids,Democratic,Female,Kansas,Great Plains,Midwest,House,KS-03,Class 1,TRUE,TRUE,209871,0.5336,393333,Democratic,"Roeland Park, Kansas",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
419,Steve E. Roberts,Libertarian,Male,Kansas,Great Plains,Midwest,House,KS-03,Class 1,FALSE,FALSE,15892,0.0404,393333,Democratic,"Overland Park, Kansas",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
420,Ronald G. Estes,Republican,Male,Kansas,Great Plains,Midwest,House,KS-04,Class 1,TRUE,TRUE,198465,0.6505,305097,Republican,"Wichita, Kansas",2024-11-05,2024,Presidential,2022-11-08,TRUE,FALSE,FALSE
